ANG001,Angaza Women Centre,Moshi,,,,,ELCT Institutions,,
FAR001,Faraja Diaconic Centre,,Kilimanjaro,,,,ELCT Institutions,,
GOO001,Good Samaritan Foundation,,Kilimanjaro,,,,ELCT Institutions,,
IWA001,Iwambi Orphanage Centre,,Mbeya,,,,ELCT Institutions,,
KCM001,Kilimanjaro Christian Medical Centre,,Kilimanjaro,,,,ELCT Institutions,,
MAC002,Machame C.O.T.C,,Moshi,,,,ELCT Institutions,,
MAF001,Mafinga Child Care,,Iringa,,,,ELCT Institutions,,
MAF003,Mafinga Child Care,,Mbeya,,,,ELCT Institutions,,
MAF002,Mafinga VTC,,Iringa,,,,ELCT Institutions,,
MAT002,Matema Bible School and Vocational,Mbeya,,,,,ELCT Institutions,,
MBE001,Mbeya Lutheran Teachers College,,Mbeya,,,,ELCT Institutions,,
MT001,Mtoni Dioconic Centre,,Dar es Salaam,,,,ELCT Institutions,,
MWA002,Mwakaleli VTC,,Mbeya,,,,ELCT Institutions,,
USA001,Usa River Rehabilitation  Cente,,Arusha,,,,ELCT Institutions,,
USAOO2,Usambara Technology  Cente,,Lushoto,,,,ELCT Institutions,,
VIV001,Vivian Gulleen Kijita Cente,,Singida,,,,ELCT Institutions,,
